    x1         y1        x2       y2        x3       y3        x4       y4        x5       y5        x6       y6        x7       y7        x8       y8        x9       y9        x10       y10        x11       y11        x12       y12
  -54.0637    4.4143  -38.0557    1.5137  -31.6764    1.6268  -28.7364    1.5362  -26.5963    0.0306  -16.7738    1.6642   -4.6765    0.9023    9.5865    1.0745   16.5903    0.4808   22.9179    0.7085   27.7593    1.1129   54.0637    4.4143
  -54.4143    4.0637  -38.2109    1.0912  -31.8495    1.1926  -28.9524    1.0552  -26.5028   -0.6308  -16.9958    1.2377   -4.7851    0.4043    9.4220    0.6064   16.5148   -0.0377   22.8939    0.1448   27.8057    0.6716   54.4143    4.0637
  -54.7348    3.6853  -38.2945    0.6879  -31.9552    0.7144  -29.1092    0.4750  -26.3030   -1.2124  -17.1778    0.7782   -4.8175   -0.0462    9.3320    0.1312   16.5763   -0.4838   22.9281   -0.4382   27.8670    0.1211   54.7348    3.6853
  -55.0230    3.2817  -38.2997    0.2270  -32.0130    0.2505  -29.1518   -0.1197  -25.9950   -1.6007  -17.2532    0.1824   -4.6978   -0.5929    9.2990   -0.4073   16.6754   -0.8882   22.9726   -0.9894   27.9468   -0.2334   55.0230    3.2817
  -55.2768    2.8557  -38.2725   -0.1965  -31.9672   -0.3240  -29.0150   -0.7513  -25.5072   -1.9921  -17.2139   -0.3834   -4.5472   -1.1429    9.5010   -0.9384   16.9405   -1.3056   23.0624   -1.4588   28.0358   -0.7260   55.2768    2.8557
  -55.4946    2.4102  -38.2208   -0.5581  -31.8851   -0.8415  -28.8606   -1.2698  -24.9460   -2.2979  -17.0075   -0.9245   -4.3206   -1.5769    9.7569   -1.3933   17.2308   -1.6496   23.2009   -1.9270   28.1577   -1.1832   55.4946    2.4102
  -55.6749    1.9482  -38.1521   -1.1112  -31.7323   -1.3339  -28.5976   -1.7871  -24.3742   -2.5252  -16.6662   -1.4434   -4.0195   -2.0121   10.1419   -1.8168   17.5705   -1.9545   23.3651   -2.3593   28.3187   -1.6732   55.6749    1.9482
  -55.8164    1.4729  -38.1003   -1.5753  -31.4952   -1.8441  -28.2061   -2.2069  -23.8032   -2.6439  -16.3240   -1.8134   -3.6254   -2.3178   10.5557   -2.1394   17.9945   -2.2102   23.5707   -2.7781   28.5108   -2.1056   55.8164    1.4729
  -55.9182    0.9876  -37.9893   -2.0087  -31.2464   -2.2978  -27.7211   -2.5517  -23.2600   -2.7098  -15.8898   -2.2156   -3.2157   -2.5318   10.9902   -2.3993   18.4306   -2.4375   23.8034   -3.1499   28.7841   -2.5897   55.9182    0.9876
  -55.9795    0.4955  -37.8329   -2.4989  -30.9532   -2.7111  -27.1931   -2.8408  -22.6283   -2.7599  -15.4538   -2.5124   -2.8151   -2.6923   11.5109   -2.5540   18.8237   -2.5578   24.1115   -3.4513   29.0881   -2.9628   55.9795    0.4955
  -56.0000         0  -37.6645   -2.9720  -30.5185   -3.1248  -26.7234   -3.0103  -22.0790   -2.7583  -14.9743   -2.6903   -2.3316   -2.7634   12.0057   -2.6827   19.1255   -2.6389   24.5723   -3.7581   29.4841   -3.3524   56.0000         0
  -55.9795   -0.4955  -37.4939   -3.4633  -30.0820   -3.4979  -26.1761   -3.1377  -21.4182   -2.7118  -14.4563   -2.7876   -1.7594   -2.7854   12.5380   -2.7310   19.6556   -2.7452   25.0095   -4.0640   29.8736   -3.7398   55.9795   -0.4955
  -55.9182   -0.9876  -37.2539   -3.8948  -29.6605   -3.7555  -25.6343   -3.1792  -20.7825   -2.7177  -13.9769   -2.7986   -1.2028   -2.7695   13.0793   -2.7504   20.1481   -2.7464   25.3396   -4.2991   30.2014   -4.0119   55.9182   -0.9876
  -55.8164   -1.4729  -36.9994   -4.2392  -29.1228   -3.9400  -24.9852   -3.1962  -20.2454   -2.7371  -13.4227   -2.7729   -0.5750   -2.7384   13.7115   -2.7409   20.6010   -2.7209   25.7567   -4.5337   30.6106   -4.2709   55.8164   -1.4729
  -55.6749   -1.9482  -36.6265   -4.5695  -28.6080   -4.0831  -24.3883   -3.1668  -19.5966   -2.7486  -12.8189   -2.7732    0.0187   -2.7441   14.3695   -2.7513   21.1856   -2.6952   26.1566   -4.7088   31.0025   -4.4817   55.6749   -1.9482
  -55.4946   -2.4102  -36.2419   -4.8802  -28.0101   -4.1577  -23.7886   -3.0336  -19.0908   -2.7525  -12.2183   -2.7254    0.5433   -2.7533   14.9165   -2.7477   21.7314   -2.7200   26.6503   -4.8668   31.3869   -4.6500   55.4946   -2.4102
  -55.2768   -2.8557  -35.8636   -5.1485  -27.4606   -4.1328  -23.2880   -2.9448  -18.5327   -2.7765  -11.6541   -2.7575    1.1600   -2.7369   15.5751   -2.7414   22.2029   -2.7474   27.1865   -4.9677   31.7786   -4.7893   55.2768   -2.8557
  -55.0230   -3.2817  -35.4604   -5.3584  -26.8997   -4.0804  -22.6569   -2.7929  -17.9516   -2.7502  -11.1392   -2.7426    1.7552   -2.7466   16.2337   -2.7267   22.7507   -2.7600   27.7331   -5.0312   32.2912   -4.8894   55.0230   -3.2817
  -54.7348   -3.6853  -34.9904   -5.5370  -26.3115   -3.9537  -22.0468   -2.7592  -17.3911   -2.7431  -10.5278   -2.7550    2.2558   -2.7686   16.8128   -2.7300   23.3260   -2.9476   28.2918   -5.0784   32.8100   -4.9232   54.7348   -3.6853
  -54.4143   -4.0637  -34.5595   -5.6897  -25.7680   -3.8071  -21.4635   -2.7138  -16.7545   -2.7331   -9.9730   -2.7136    2.8766   -2.7723   17.3985   -2.7156   23.8323   -3.1468   28.7871   -5.0650   33.2465   -4.9257   54.4143   -4.0637
  -54.0637   -4.4143  -34.0328   -5.8000  -25.2909   -3.6413  -20.8330   -2.7114  -16.1813   -2.7284   -9.4206   -2.7433    3.4237   -2.7555   18.0191   -2.7386   24.3118   -3.4160   29.2083   -5.0475   33.6738   -4.8625   54.0637   -4.4143
  -53.6853   -4.7348  -33.5832   -5.8551  -24.8470   -3.4612  -20.1856   -2.7786  -15.5659   -2.7332   -8.8804   -2.7598    4.0145   -2.7017   18.6158   -2.7508   24.7550   -3.6738   29.7852   -4.9521   34.2167   -4.7962   53.6853   -4.7348
  -53.2817   -5.0230  -33.0682   -5.8878  -24.3309   -3.2087  -19.5726   -2.7807  -15.0330   -2.7702   -8.2799   -2.7727    4.6164   -2.7226   19.2320   -2.7514   25.1663   -3.9013   30.3370   -4.8806   34.7751   -4.7088   53.2817   -5.0230
  -52.8557   -5.2768  -32.5847   -5.9361  -23.7076   -2.9472  -18.9363   -2.7470  -14.5006   -2.7780   -7.7272   -2.7713    5.1847   -2.7327   19.8899   -2.7364   25.5666   -4.0702   30.9183   -4.7945   35.2525   -4.6400   52.8557   -5.2768
  -52.4102   -5.4946  -32.1679   -5.9424  -23.1136   -2.7597  -18.4369   -2.7482  -13.9367   -2.7581   -7.0690   -2.7689    5.8176   -2.7406   20.3170   -2.7287   26.1100   -4.2251   31.4076   -4.7054   35.7203   -4.5412   52.4102   -5.4946
  -51.9482   -5.6749  -31.7093   -5.8742  -22.5364   -2.7367  -17.7399   -2.7491  -13.3656   -2.7556   -6.4085   -2.7604    6.3787   -2.7610   20.9350   -2.7121   26.6573   -4.3089   31.8759   -4.5358   36.1690   -4.4104   51.9482   -5.6749
  -51.4729   -5.8164  -31.2869   -5.7726  -22.0091   -2.7257  -17.1829   -2.7183  -12.8581   -2.7650   -5.8392   -2.7582    6.9986   -2.7343   21.5358   -2.7606   27.2857   -4.3351   32.2664   -4.3698   36.6579   -4.1964   51.4729   -5.8164
  -50.9876   -5.9182  -30.7630   -5.5756  -21.4318   -2.7203  -16.5604   -2.7572  -12.2837   -2.7489   -5.2510   -2.7520    7.7073   -2.7593   22.0756   -2.7777   27.9387   -4.3194   32.5875   -4.1866   37.0828   -3.9871   50.9876   -5.9182
  -50.4955   -5.9795  -30.3086   -5.3833  -20.8472   -2.7426  -16.1041   -2.7568  -11.7001   -2.7090   -4.5943   -2.7423    8.3873   -2.7608   22.6855   -2.8083   28.5206   -4.2395   32.9885   -3.8857   37.4161   -3.6683   50.4955   -5.9795
  -50.0000   -6.0000  -29.8467   -5.1683  -20.2347   -2.7557  -15.6294   -2.7498  -11.0524   -2.7446   -3.9146   -2.7658    8.9746   -2.7263   23.3044   -2.8410   29.1198   -4.1361   33.3405   -3.5751   37.7562   -3.3461   50.0000   -6.0000
