    x          z
  -20.1104   -8.2043
  -20.3127   -8.1127
  -20.0237   -7.9828
  -19.9041   -7.2691
  -19.7894   -7.3190
  -19.9168   -7.3636
  -19.9192   -7.0540
  -20.0346   -7.1775
  -19.8875   -6.9630
  -19.8982   -6.7989
  -19.2517   -7.4511
  -19.8619   -9.3510
  -19.7654   -9.0820
  -19.6372   -9.1812
  -19.2160   -9.1533
  -19.1671   -9.1174
  -18.6044   -9.1934
  -18.5141   -8.8316
  -18.4566   -8.4261
  -18.6278   -8.4426
  -19.0051   -8.6612
  -19.0424   -8.5220
  -19.2056   -8.5158
  -19.4765   -8.5476
  -19.3918   -9.0729
  -19.7675   -9.0258
  -20.1677   -8.8154
  -20.7752   -8.8366
  -20.2925   -9.0937
  -20.2205   -9.2463
  -20.2999   -9.6901
  -20.3028  -10.2407
  -20.0942  -10.0090
  -20.0658  -10.1867
  -19.8631  -10.1685
  -19.5425  -10.7427
  -19.6974  -10.7299
  -19.7016  -10.9980
  -20.2718  -10.7803
  -20.3314  -10.9579
  -20.7526  -11.1001
   12.7911    0.8679
   13.0513    0.8568
   13.0644    0.8667
   13.2505    0.4434
   13.3564    0.6664
   13.2208    0.6011
   13.1169    0.6706
   13.2618    1.1573
   12.9003    2.1602
   12.7255    2.2650
   12.5761    2.1839
   11.9878    1.9614
   12.1296    1.7268
   12.0521    1.6853
   12.1502    1.5730
   12.5877    1.0980
   12.2309    0.6977
   12.1643    0.4624
   12.2467    0.4248
   12.5212    0.0916
   12.7853   -0.0351
   12.7468   -0.2518
   12.8813   -0.5266
   12.4286   -0.5199
   12.4318   -0.5452
   12.1943   -0.6771
   12.2206   -1.2908
   12.2165   -1.4414
   12.7368   -1.3854
   12.4907   -1.3617
  -26.5657    6.0666
  -26.8192    6.0419
  -26.6825    6.0379
  -27.1148    6.0065
  -27.2636    6.0058
  -27.4395    6.1327
  -27.7355    6.2589
  -27.7615    5.7514
  -28.0949    5.8082
  -28.0821    5.6926
  -28.7374    6.2353
  -28.8711    6.1345
  -28.8798    6.1166
  -29.5532    6.5013
  -29.6285    6.3109
  -29.7932    6.3431
  -29.9923    6.4578
  -30.0708    6.2460
  -30.3941    6.6261
  -30.7364    6.3095
  -31.2360    6.2422
  -31.2394    6.8164
  -31.1638    7.0808
  -31.4880    7.0810
  -31.6807    6.9981
  -31.9378    7.1068
  -32.1255    7.0490
  -32.2991    7.4318
  -31.7702    7.9410
  -31.2267    8.4879
  -27.9701   13.5790
  -28.0319   13.7786
  -28.3135   13.6425
  -28.0656   13.9535
  -28.3714   14.2985
  -28.5800   14.2230
  -28.9482   14.4295
  -29.0785   14.4181
  -29.4178   14.4113
  -29.5988   14.2435
  -29.6730   14.0059
  -29.7300   13.6701
  -29.1991   13.7777
  -29.6711   13.5620
  -30.0055   13.5235
  -30.1228   13.6087
  -30.4623   13.6461
  -30.6299   13.9119
  -30.5404   13.9952
  -30.9945   13.8947
  -31.2040   13.5333
  -31.4787   14.0506
  -31.6642   13.3972
  -31.1869   14.0317
  -31.0773   14.1021
  -31.1772   13.6811
  -31.1726   13.4124
  -30.9643   13.5362
  -30.7663   13.4550
  -30.0486   12.1829
   25.8636    9.2116
   26.3280    9.1737
   26.4998    8.9580
   26.4020    8.7359
   26.5567    8.6205
   26.4848    8.6750
   26.0079    8.3902
   25.8379    8.3721
   25.7318    8.3981
   25.5799    8.5754
   24.9511    8.2048
   25.0663    7.9136
   24.7658    7.8716
   24.7423    7.6513
   24.6122    7.6271
   24.8678    7.3578
   24.3749    7.2965
   24.4300    7.3166
   24.7957    6.9012
   24.9149    6.6874
   25.0893    6.7169
   25.3579    6.6985
   25.9262    6.6457
   25.9904    6.4035
   26.0499    6.7400
   26.3389    6.8116
   26.6442    6.3556
   26.4955    6.2506
   26.9091    6.1903
   27.4424    6.4465
