   wx        wz
  -28.7684  -16.2500
  -29.7537  -16.2500
  -28.2758  -16.2500
  -27.7832  -16.2500
  -27.2905  -16.2500
  -26.7979  -16.2500
  -26.3053  -16.2500
  -25.8127  -16.2500
  -25.3200  -16.2500
  -24.8274  -16.2500
  -24.3348  -16.2500
  -23.8422  -16.2500
  -23.3495  -16.2500
  -22.8569  -16.2500
  -22.3643  -16.2500
  -21.8716  -16.2500
  -21.3790  -16.2500
  -20.8864  -16.2500
  -20.3938  -16.2500
  -19.9011  -16.2500
  -19.4085  -16.2500
  -18.9159  -16.2500
  -18.4232  -16.2500
  -17.9306  -16.2500
  -17.4380  -16.2500
  -16.9454  -16.2500
  -16.4527  -16.2500
  -15.9601  -16.2500
  -15.4675  -16.2500
  -14.9749  -16.2500
  -14.4822  -16.2500
  -14.1251  -15.8929
  -13.7680  -15.5357
  -13.4108  -15.1786
  -13.0537  -14.8214
  -12.6965  -14.4643
  -12.3394  -14.1071
  -11.9822  -13.7500
  -11.6251  -13.3929
  -11.2680  -13.0357
  -10.9108  -12.6786
  -10.5537  -12.3214
  -10.1965  -11.9643
   -9.8394  -11.6071
   -9.4822  -11.2500
   -9.1251  -10.8929
   -8.7680  -10.5357
   -8.4108  -10.1786
   -8.0537   -9.8214
   -7.6965   -9.4643
   -7.3394   -9.1071
   -6.9822   -8.7500
   -6.6251   -8.3929
   -6.2679   -8.0357
   -5.9108   -7.6786
   -5.5537   -7.3214
   -5.1965   -6.9643
   -4.8394   -6.6071
   -4.4822   -6.2500
   -3.9219   -6.2500
   -3.3617   -6.2500
   -2.8014   -6.2500
   -2.2411   -6.2500
   -1.6808   -6.2500
   -1.1206   -6.2500
   -0.5603   -6.2500
         0   -6.2500
    0.5603   -6.2500
    1.1206   -6.2500
    1.6808   -6.2500
    2.2411   -6.2500
    2.8014   -6.2500
    3.3617   -6.2500
    3.9219   -6.2500
    4.4822   -6.2500
    4.8394   -6.6071
    5.1965   -6.9643
    5.5537   -7.3214
    5.9108   -7.6786
    6.2679   -8.0357
    6.6251   -8.3929
    6.9822   -8.7500
    7.3394   -9.1071
    7.6965   -9.4643
    8.0537   -9.8214
    8.4108  -10.1786
    8.7680  -10.5357
    9.1251  -10.8929
    9.4822  -11.2500
    9.8394  -11.6071
   10.1965  -11.9643
   10.5537  -12.3214
   10.9108  -12.6786
   11.2680  -13.0357
   11.6251  -13.3929
   11.9822  -13.7500
   12.3394  -14.1071
   12.6965  -14.4643
   13.0537  -14.8214
   13.4108  -15.1786
   13.7680  -15.5357
   14.1251  -15.8929
   14.4822  -16.2500
   14.9910  -16.2500
   15.4998  -16.2500
   16.0086  -16.2500
   16.5174  -16.2500
   17.0261  -16.2500
   17.5349  -16.2500
   18.0437  -16.2500
   18.5525  -16.2500
   19.0613  -16.2500
   19.5700  -16.2500
   20.0788  -16.2500
   20.5876  -16.2500
   21.0964  -16.2500
   21.6051  -16.2500
   22.1139  -16.2500
   22.6227  -16.2500
   23.1315  -16.2500
   23.6403  -16.2500
   24.1490  -16.2500
   24.6578  -16.2500
   25.1666  -16.2500
   25.6754  -16.2500
   26.1842  -16.2500
   26.6929  -16.2500
   27.2017  -16.2500
   27.7105  -16.2500
   28.2193  -16.2500
   28.7280  -16.2500
   29.2368  -16.2500
   29.7456  -16.2500
  -29.2611   16.2500
  -28.7684   16.2500
  -29.7537   16.2500
  -28.2758   16.2500
  -27.7832   16.2500
  -27.2905   16.2500
  -26.7979   16.2500
  -26.3053   16.2500
  -25.8127   16.2500
  -25.3200   16.2500
  -24.8274   16.2500
  -24.3348   16.2500
  -23.8422   16.2500
  -23.3495   16.2500
  -22.8569   16.2500
  -22.3643   16.2500
  -21.8716   16.2500
  -21.3790   16.2500
  -20.8864   16.2500
  -20.3938   16.2500
  -19.9011   16.2500
  -19.4085   16.2500
  -18.9159   16.2500
  -18.4232   16.2500
  -17.9306   16.2500
  -17.4380   16.2500
  -16.9454   16.2500
  -16.4527   16.2500
  -15.9601   16.2500
  -15.4675   16.2500
  -14.9749   16.2500
  -14.4822   16.2500
  -14.1251   15.8929
  -13.7680   15.5357
  -13.4108   15.1786
  -13.0537   14.8214
  -12.6965   14.4643
  -12.3394   14.1071
  -11.9822   13.7500
  -11.6251   13.3929
  -11.2680   13.0357
  -10.9108   12.6786
  -10.5537   12.3214
  -10.1965   11.9643
   -9.8394   11.6071
   -9.4822   11.2500
   -9.1251   10.8929
   -8.7680   10.5357
   -8.4108   10.1786
   -8.0537    9.8214
   -7.6965    9.4643
   -7.3394    9.1071
   -6.9822    8.7500
   -6.6251    8.3929
   -6.2679    8.0357
   -5.9108    7.6786
   -5.5537    7.3214
   -5.1965    6.9643
   -4.8394    6.6071
   -4.4822    6.2500
   -3.9219    6.2500
   -3.3617    6.2500
   -2.8014    6.2500
   -2.2411    6.2500
   -1.6808    6.2500
   -1.1206    6.2500
   -0.5603    6.2500
         0    6.2500
    0.5603    6.2500
    1.1206    6.2500
    1.6808    6.2500
    2.2411    6.2500
    2.8014    6.2500
    3.3617    6.2500
    3.9219    6.2500
    4.4822    6.2500
    4.8394    6.6071
    5.1965    6.9643
    5.5537    7.3214
    5.9108    7.6786
    6.2679    8.0357
    6.6251    8.3929
    6.9822    8.7500
    7.3394    9.1071
    7.6965    9.4643
    8.0537    9.8214
    8.4108   10.1786
    8.7680   10.5357
    9.1251   10.8929
    9.4822   11.2500
    9.8394   11.6071
   10.1965   11.9643
   10.5537   12.3214
   10.9108   12.6786
   11.2680   13.0357
   11.6251   13.3929
   11.9822   13.7500
   12.3394   14.1071
   12.6965   14.4643
   13.0537   14.8214
   13.4108   15.1786
   13.7680   15.5357
   14.1251   15.8929
   14.4822   16.2500
   14.9910   16.2500
   15.4998   16.2500
   16.0086   16.2500
   16.5174   16.2500
   17.0261   16.2500
   17.5349   16.2500
   18.0437   16.2500
   18.5525   16.2500
   19.0613   16.2500
   19.5700   16.2500
   20.0788   16.2500
   20.5876   16.2500
   21.0964   16.2500
   21.6051   16.2500
   22.1139   16.2500
   22.6227   16.2500
   23.1315   16.2500
   23.6403   16.2500
   24.1490   16.2500
   24.6578   16.2500
   25.1666   16.2500
   25.6754   16.2500
   26.1842   16.2500
   26.6929   16.2500
   27.2017   16.2500
   27.7105   16.2500
   28.2193   16.2500
   28.7280   16.2500
   29.2368   16.2500
   29.7456   16.2500
